DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ponA 537
COLOR	#88419d

LEGEND_TITLE	ponA 537
BH53	#b3cde3	Y
BH55	#b3cde3	Y
BH56	#b3cde3	Y
BH58	#b3cde3	Y
BH60	#b3cde3	Y
BH61	#b3cde3	Y
BH62	#b3cde3	Y
BH64	#b3cde3	Y
BH65	#b3cde3	Y
BH66	#b3cde3	Y
BH69	#b3cde3	Y
BH70	#b3cde3	Y
BH71	#b3cde3	Y
BH72	#b3cde3	Y
BH74	#b3cde3	Y
BH75	#b3cde3	Y
BH76	#b3cde3	Y
BH79	#b3cde3	Y
BH83	#b3cde3	Y
BH85	#b3cde3	Y
BH86	#b3cde3	Y
BH91	#b3cde3	Y
BH92	#b3cde3	Y
BH93	#b3cde3	Y
BH95	#b3cde3	Y
BH96	#b3cde3	Y
BH97	#b3cde3	Y
BH98	#b3cde3	Y
BH99	#b3cde3	Y
BR01	#b3cde3	Y
BR02	#b3cde3	Y
BR03	#b3cde3	Y
BR04	#b3cde3	Y
BR05	#b3cde3	Y
BR07	#b3cde3	Y
BR08	#b3cde3	Y
BR09	#b3cde3	Y
BR10	#b3cde3	Y
BR11	#b3cde3	Y
BR12	#b3cde3	Y
BR13	#b3cde3	Y
BR14	#b3cde3	Y
BR15	#b3cde3	Y
BR16	#b3cde3	Y
BR17	#b3cde3	Y
BR18	#b3cde3	Y
BR19	#b3cde3	Y
BR20	#b3cde3	Y
BR21	#b3cde3	Y
BR26	#b3cde3	Y
BR27	#b3cde3	Y
BR28	#b3cde3	Y
BR29	#b3cde3	Y
BR30	#b3cde3	Y
BR31	#b3cde3	Y
BR32	#b3cde3	Y
BR33	#b3cde3	Y
BR34	#b3cde3	Y
BR35	#b3cde3	Y
BR36	#b3cde3	Y
BR37	#b3cde3	Y
BR39	#b3cde3	Y
BR40	#b3cde3	Y
BR41	#b3cde3	Y
BR42	#b3cde3	Y
BR43	#b3cde3	Y
BR45	#b3cde3	Y
BR46	#b3cde3	Y
BR47	#b3cde3	Y
BR48	#b3cde3	Y
BR49	#b3cde3	Y
BR50	#b3cde3	Y
BR51	#b3cde3	Y
BR52	#b3cde3	Y
BR53	#b3cde3	Y
BR54	#b3cde3	Y
BR55	#b3cde3	Y
BR56	#b3cde3	Y
BR57	#b3cde3	Y
BR58	#b3cde3	Y
BR59	#b3cde3	Y
BR60	#b3cde3	Y
BR61	#b3cde3	Y
BR63	#b3cde3	Y
BR64	#b3cde3	Y
BR65	#b3cde3	Y
BR67	#b3cde3	Y
BR70	#b3cde3	Y
ERR3990991	#b3cde3	Y
ERR4160187	#b3cde3	Y
ERR4160188	#b3cde3	Y
ERR4160189	#b3cde3	Y
ERR4160193	#b3cde3	Y
ERR4160194	#b3cde3	Y
ERR4160205	#b3cde3	Y
ERR4160213	#b3cde3	Y
ERR4160220	#b3cde3	Y
ERR4160226	#b3cde3	Y
ERR4160256	#b3cde3	Y
ERR4160263	#b3cde3	Y
ERR4160264	#b3cde3	Y
ERR4160265	#b3cde3	Y
ERR4160266	#b3cde3	Y
ERR4160268	#b3cde3	Y
ERR4160660	#b3cde3	Y
ERR4160663	#b3cde3	Y
ERR4160664	#b3cde3	Y
ERR4160665	#b3cde3	Y
ERR4160666	#b3cde3	Y
ERR4160667	#b3cde3	Y
ERR4160668	#b3cde3	Y
ERR4160670	#b3cde3	Y
ERR4160671	#b3cde3	Y
ERR4160672	#b3cde3	Y
ERR4160674	#b3cde3	Y
ERR4160675	#b3cde3	Y
ERR4160676	#b3cde3	Y
ERR4160677	#b3cde3	Y
ERR4160679	#b3cde3	Y
ERR4160680	#b3cde3	Y
ERR4160681	#b3cde3	Y
ERR4160682	#b3cde3	Y
ERR4160683	#b3cde3	Y
ERR4160688	#b3cde3	Y
ERR4160689	#b3cde3	Y
ERR4160691	#b3cde3	Y
ERR4160692	#b3cde3	Y
ERR4160695	#b3cde3	Y
ERR4160696	#b3cde3	Y
ERR4160698	#b3cde3	Y
ERR4160701	#b3cde3	Y
ERR4160703	#b3cde3	Y
ERR4160704	#b3cde3	Y
ERR4160705	#b3cde3	Y
ERR4160706	#b3cde3	Y
ERR4160707	#b3cde3	Y
ERR4160708	#b3cde3	Y
ERR4160709	#b3cde3	Y
ERR4160710	#b3cde3	Y
ERR4160711	#b3cde3	Y
ERR4160713	#b3cde3	Y
ERR4160715	#b3cde3	Y
ERR4160717	#b3cde3	Y
ERR4160718	#b3cde3	Y
ERR4160719	#b3cde3	Y
ERR4160732	#b3cde3	Y
ERR4160749	#b3cde3	Y
ERR4160750	#b3cde3	Y
ERR4160751	#b3cde3	Y
ERR4160752	#b3cde3	Y
ERR4160753	#b3cde3	Y
ERR4160754	#b3cde3	Y
ERR4160755	#b3cde3	Y
ERR4160756	#b3cde3	Y
ERR4160763	#b3cde3	Y
ERR4160764	#b3cde3	Y
ERR4160765	#b3cde3	Y
ERR4160767	#b3cde3	Y
ERR4160768	#b3cde3	Y
ERR4160770	#b3cde3	Y
ERR4160771	#b3cde3	Y
ERR4160772	#b3cde3	Y
ERR4160773	#b3cde3	Y
ERR4160775	#b3cde3	Y
ERR4160776	#b3cde3	Y
ERR4160777	#b3cde3	Y
ERR4161169	#b3cde3	Y
ERR4161170	#b3cde3	Y
ERR4161171	#b3cde3	Y
ERR4161172	#b3cde3	Y
ERR4161174	#b3cde3	Y
ERR4161175	#b3cde3	Y
ERR4161224	#b3cde3	Y
ERR4161225	#b3cde3	Y
ERR4161226	#b3cde3	Y
ERR4161227	#b3cde3	Y
ERR4161228	#b3cde3	Y
ERR4161229	#b3cde3	Y
ERR4161231	#b3cde3	Y
ERR4161232	#b3cde3	Y
ERR4161233	#b3cde3	Y
ERR4161234	#b3cde3	Y
ERR4161235	#b3cde3	Y
ERR4161236	#b3cde3	Y
ERR4161237	#b3cde3	Y
ERR4161240	#b3cde3	Y
ERR4161242	#b3cde3	Y
ERR4161244	#b3cde3	Y
ERR4161246	#b3cde3	Y
ERR4161247	#b3cde3	Y
ERR4161249	#b3cde3	Y
ERR4161250	#b3cde3	Y
ERR4161251	#b3cde3	Y
ERR4161255	#b3cde3	Y
ERR4161256	#b3cde3	Y
ERR4161257	#b3cde3	Y
ERR4161258	#b3cde3	Y
ERR4161269	#b3cde3	Y
ERR4161393	#b3cde3	Y
ERR4161394	#b3cde3	Y
ERR4161396	#b3cde3	Y
FL10	#b3cde3	Y
FL11	#b3cde3	Y
FL12	#b3cde3	Y
FL13	#b3cde3	Y
FL14	#b3cde3	Y
FL15	#b3cde3	Y
FL16	#b3cde3	Y
FL17	#b3cde3	Y
FL18	#b3cde3	Y
FL19	#b3cde3	Y
FL1	#b3cde3	Y
FL20	#b3cde3	Y
FL21	#b3cde3	Y
FL22	#b3cde3	Y
FL24	#b3cde3	Y
FL25	#b3cde3	Y
FL26	#b3cde3	Y
FL27	#b3cde3	Y
FL29	#b3cde3	Y
FL2	#b3cde3	Y
FL30	#b3cde3	Y
FL31	#b3cde3	Y
FL32	#b3cde3	Y
FL33	#b3cde3	Y
FL34	#b3cde3	Y
FL35	#b3cde3	Y
FL36	#b3cde3	Y
FL37	#b3cde3	Y
FL38	#b3cde3	Y
FL3	#b3cde3	Y
FL41	#b3cde3	Y
FL42	#b3cde3	Y
FL43	#b3cde3	Y
FL44	#b3cde3	Y
FL45	#b3cde3	Y
FL46	#b3cde3	Y
FL48	#b3cde3	Y
FL49	#b3cde3	Y
FL4	#b3cde3	Y
FL50	#b3cde3	Y
FL51	#b3cde3	Y
FL53	#b3cde3	Y
FL54	#b3cde3	Y
FL55	#b3cde3	Y
FL56	#b3cde3	Y
FL57	#b3cde3	Y
FL58	#b3cde3	Y
FL59	#b3cde3	Y
FL5	#b3cde3	Y
FL60	#b3cde3	Y
FL61	#b3cde3	Y
FL62	#b3cde3	Y
FL64	#b3cde3	Y
FL65	#b3cde3	Y
FL67	#b3cde3	Y
FL69	#b3cde3	Y
FL6	#b3cde3	Y
FL71	#b3cde3	Y
FL73	#b3cde3	Y
FL74	#b3cde3	Y
FL7	#b3cde3	Y
MA01	#b3cde3	Y
MA02	#b3cde3	Y
MA03	#b3cde3	Y
MA04	#b3cde3	Y
MA05	#b3cde3	Y
MA06	#b3cde3	Y
MA07	#b3cde3	Y
MA08	#b3cde3	Y
MA100	#b3cde3	Y
MA10	#b3cde3	Y
MA11	#b3cde3	Y
MA12	#b3cde3	Y
MA14	#b3cde3	Y
MA15	#b3cde3	Y
MA17	#b3cde3	Y
MA18	#b3cde3	Y
MA20	#b3cde3	Y
MA21	#b3cde3	Y
MA22	#b3cde3	Y
MA23	#b3cde3	Y
MA24	#b3cde3	Y
MA25	#b3cde3	Y
MA27	#b3cde3	Y
MA28	#b3cde3	Y
MA29	#b3cde3	Y
MA30	#b3cde3	Y
MA31	#b3cde3	Y
MA32	#b3cde3	Y
MA33	#b3cde3	Y
MA34	#b3cde3	Y
MA35	#b3cde3	Y
MA37	#b3cde3	Y
MA38	#b3cde3	Y
MA40	#b3cde3	Y
MA41	#b3cde3	Y
MA43	#b3cde3	Y
MA44	#b3cde3	Y
MA45	#b3cde3	Y
MA46	#b3cde3	Y
MA48	#b3cde3	Y
MA49	#b3cde3	Y
MA50	#b3cde3	Y
MA51	#b3cde3	Y
MA54	#b3cde3	Y
MA55	#b3cde3	Y
MA56	#b3cde3	Y
MA58	#b3cde3	Y
MA59	#b3cde3	Y
MA60	#b3cde3	Y
MA62	#b3cde3	Y
MA63	#b3cde3	Y
MA64	#b3cde3	Y
MA65	#b3cde3	Y
MA66	#b3cde3	Y
MA67	#b3cde3	Y
MA68	#b3cde3	Y
MA69	#b3cde3	Y
MA70	#b3cde3	Y
MA71	#b3cde3	Y
MA72	#b3cde3	Y
MA73	#b3cde3	Y
MA74	#b3cde3	Y
MA75	#b3cde3	Y
MA76	#b3cde3	Y
MA77	#b3cde3	Y
MA79	#b3cde3	Y
MA80	#b3cde3	Y
MA81	#b3cde3	Y
MA82	#b3cde3	Y
MA83	#b3cde3	Y
MA84	#b3cde3	Y
MA86	#b3cde3	Y
MA87	#b3cde3	Y
MA89	#b3cde3	Y
MA90	#b3cde3	Y
MA91	#b3cde3	Y
MA92	#b3cde3	Y
MA93	#b3cde3	Y
MA95	#b3cde3	Y
MA96	#b3cde3	Y
MA97	#b3cde3	Y
MA98	#b3cde3	Y
MA99	#b3cde3	Y
POA03	#b3cde3	Y
POA04	#b3cde3	Y
POA05	#b3cde3	Y
POA06	#b3cde3	Y
POA07	#b3cde3	Y
POA08	#b3cde3	Y
POA09	#b3cde3	Y
POA10	#b3cde3	Y
POA11	#b3cde3	Y
POA12	#b3cde3	Y
POA13	#b3cde3	Y
POA14	#b3cde3	Y
POA15	#b3cde3	Y
POA16	#b3cde3	Y
POA17	#b3cde3	Y
POA18	#b3cde3	Y
POA19	#b3cde3	Y
POA20	#b3cde3	Y
POA21	#b3cde3	Y
POA23	#b3cde3	Y
POA24	#b3cde3	Y
POA25	#b3cde3	Y
POA26	#b3cde3	Y
POA27	#b3cde3	Y
POA28	#b3cde3	Y
POA30	#b3cde3	Y
POA31	#b3cde3	Y
POA32	#b3cde3	Y
POA33	#b3cde3	Y
POA34	#b3cde3	Y
POA35	#b3cde3	Y
POA36	#b3cde3	Y
POA37	#b3cde3	Y
POA39	#b3cde3	Y
POA42	#b3cde3	Y
POA44	#b3cde3	Y
POA45	#b3cde3	Y
POA46	#b3cde3	Y
POA47	#b3cde3	Y
POA48	#b3cde3	Y
POA49	#b3cde3	Y
POA50	#b3cde3	Y
POA51	#b3cde3	Y
POA52	#b3cde3	Y
POA54	#b3cde3	Y
POA55	#b3cde3	Y
POA56	#b3cde3	Y
POA58	#b3cde3	Y
POA59	#b3cde3	Y
POA60	#b3cde3	Y
POA61	#b3cde3	Y
POA62	#b3cde3	Y
POA63	#b3cde3	Y
POA64	#b3cde3	Y
POA66	#b3cde3	Y
POA67	#b3cde3	Y
POA68	#b3cde3	Y
POA69	#b3cde3	Y
POA70	#b3cde3	Y
POA71	#b3cde3	Y
POA72	#b3cde3	Y
POA73	#b3cde3	Y
POA74	#b3cde3	Y
POA75	#b3cde3	Y
POA77	#b3cde3	Y
POA78	#b3cde3	Y
SA04	#b3cde3	Y
SA05	#b3cde3	Y
SA06	#b3cde3	Y
SA09	#b3cde3	Y
SA101	#b3cde3	Y
SA102	#b3cde3	Y
SA103	#b3cde3	Y
SA104	#b3cde3	Y
SA105	#b3cde3	Y
SA106	#b3cde3	Y
SA107	#b3cde3	Y
SA108	#b3cde3	Y
SA10	#b3cde3	Y
SA110	#b3cde3	Y
SA111	#b3cde3	Y
SA114	#b3cde3	Y
SA115	#b3cde3	Y
SA116	#b3cde3	Y
SA117	#b3cde3	Y
SA13	#b3cde3	Y
SA14	#b3cde3	Y
SA16	#b3cde3	Y
SA17	#b3cde3	Y
SA18	#b3cde3	Y
SA19	#b3cde3	Y
SA21	#b3cde3	Y
SA22	#b3cde3	Y
SA28	#b3cde3	Y
SA29	#b3cde3	Y
SA30	#b3cde3	Y
SA33	#b3cde3	Y
SA34	#b3cde3	Y
SA35	#b3cde3	Y
SA36	#b3cde3	Y
SA38	#b3cde3	Y
SA41	#b3cde3	Y
SA42	#b3cde3	Y
SA43	#b3cde3	Y
SA44	#b3cde3	Y
SA47	#b3cde3	Y
SA48	#b3cde3	Y
SA50	#b3cde3	Y
SA53	#b3cde3	Y
SA54	#b3cde3	Y
SA56	#b3cde3	Y
SA59	#b3cde3	Y
SA60	#b3cde3	Y
SA61	#b3cde3	Y
SA62	#b3cde3	Y
SA63	#b3cde3	Y
SA68	#b3cde3	Y
SA69	#b3cde3	Y
SA70	#b3cde3	Y
SA71	#b3cde3	Y
SA72	#b3cde3	Y
SA73	#b3cde3	Y
SA74	#b3cde3	Y
SA75	#b3cde3	Y
SA76	#b3cde3	Y
SA77	#b3cde3	Y
SA78	#b3cde3	Y
SA79	#b3cde3	Y
SA81	#b3cde3	Y
SA82	#b3cde3	Y
SA84	#b3cde3	Y
SA85	#b3cde3	Y
SA88	#b3cde3	Y
SA89	#b3cde3	Y
SA90	#b3cde3	Y
SA91	#b3cde3	Y
SA93	#b3cde3	Y
SA94	#b3cde3	Y
SA95	#b3cde3	Y
SA96	#b3cde3	Y
SA98	#b3cde3	Y
SP01	#b3cde3	Y
SP02	#b3cde3	Y
SP04	#b3cde3	Y
SP05	#b3cde3	Y
SP07	#b3cde3	Y
SP11	#b3cde3	Y
SP12	#b3cde3	Y
SP13	#b3cde3	Y
SP15	#b3cde3	Y
SP16	#b3cde3	Y
SP17	#b3cde3	Y
SP22	#b3cde3	Y
SP24	#b3cde3	Y
SP25	#b3cde3	Y
SP26	#b3cde3	Y
SP27	#b3cde3	Y
SP30	#b3cde3	Y
SP31	#b3cde3	Y
SP34	#b3cde3	Y
SP35	#b3cde3	Y
SP36	#b3cde3	Y
SP37	#b3cde3	Y
SP39	#b3cde3	Y
SP40	#b3cde3	Y
SP41	#b3cde3	Y
SP42	#b3cde3	Y
SP43	#b3cde3	Y
ERR9668844	#b3cde3	Y
ERR9668845	#b3cde3	Y
ERR9668848	#b3cde3	Y
ERR9668849	#b3cde3	Y
ERR9668886	#b3cde3	Y
ERR9668887	#b3cde3	Y
ERR9668888	#b3cde3	Y
ERR9668889	#b3cde3	Y
ERR9668890	#b3cde3	Y
ERR9668911	#b3cde3	Y
ERR9668912	#b3cde3	Y
ERR9668914	#b3cde3	Y
ERR9668916	#b3cde3	Y
ERR9668921	#b3cde3	Y
ERR9668923	#b3cde3	Y
ERR9668925	#b3cde3	Y
ERR9668930	#b3cde3	Y
ERR9668934	#b3cde3	Y
ERR9668935	#b3cde3	Y
ERR9668940	#b3cde3	Y
ERR9668942	#b3cde3	Y
ERR9668944	#b3cde3	Y
ERR9668945	#b3cde3	Y
ERR9668946	#b3cde3	Y
ERR9668949	#b3cde3	Y
ERR9668955	#b3cde3	Y
ERR9668966	#b3cde3	Y
ERR9668969	#b3cde3	Y
ERR9668972	#b3cde3	Y
ERR9668974	#b3cde3	Y
ERR9668978	#b3cde3	Y
ERR9668981	#b3cde3	Y
ERR9668982	#b3cde3	Y
ERR9668983	#b3cde3	Y
ERR9668985	#b3cde3	Y
ERR9668986	#b3cde3	Y
ERR9668987	#b3cde3	Y
ERR9668989	#b3cde3	Y
ERR9668990	#b3cde3	Y
ERR9668994	#b3cde3	Y
ERR9668995	#b3cde3	Y
ERR9668999	#b3cde3	Y
ERR9669000	#b3cde3	Y
ERR9669001	#b3cde3	Y
ERR9669002	#b3cde3	Y
ERR9669004	#b3cde3	Y
ERR9669006	#b3cde3	Y
ERR9669009	#b3cde3	Y
ERR9669010	#b3cde3	Y
ERR9669011	#b3cde3	Y
ERR9669012	#b3cde3	Y
ERR9669013	#b3cde3	Y
ERR9669014	#b3cde3	Y
ERR9669015	#b3cde3	Y
ERR9669016	#b3cde3	Y
ERR9669017	#b3cde3	Y
ERR9669018	#b3cde3	Y
GCGS0002	#b3cde3	Y
GCGS0005	#b3cde3	Y
GCGS0006	#b3cde3	Y
GCGS0008	#b3cde3	Y
GCGS0009	#b3cde3	Y
GCGS0010	#b3cde3	Y
GCGS0012	#b3cde3	Y
GCGS0013	#b3cde3	Y
GCGS0015	#b3cde3	Y
GCGS0016	#b3cde3	Y
GCGS0017	#b3cde3	Y
GCGS0019	#b3cde3	Y
GCGS0020	#b3cde3	Y
GCGS0021	#b3cde3	Y
GCGS0023	#b3cde3	Y
GCGS0024	#b3cde3	Y
GCGS0026	#b3cde3	Y
GCGS0032	#b3cde3	Y
GCGS0033	#b3cde3	Y
GCGS0034	#b3cde3	Y
GCGS0036	#b3cde3	Y
GCGS0038	#b3cde3	Y
GCGS0040	#b3cde3	Y
GCGS0041	#b3cde3	Y
GCGS0044	#b3cde3	Y
GCGS0049	#b3cde3	Y
GCGS0050	#b3cde3	Y
GCGS0052	#b3cde3	Y
GCGS0054	#b3cde3	Y
GCGS0055	#b3cde3	Y
GCGS0056	#b3cde3	Y
GCGS0057	#b3cde3	Y
GCGS0058	#b3cde3	Y
GCGS0059	#b3cde3	Y
GCGS0060	#b3cde3	Y
GCGS0061	#b3cde3	Y
GCGS0062	#b3cde3	Y
GCGS0064	#b3cde3	Y
GCGS0066	#b3cde3	Y
GCGS0067	#b3cde3	Y
GCGS0068	#b3cde3	Y
GCGS0069	#b3cde3	Y
GCGS0072	#b3cde3	Y
GCGS0074	#b3cde3	Y
GCGS0075	#b3cde3	Y
GCGS0077	#b3cde3	Y
GCGS0078	#b3cde3	Y
GCGS0080	#b3cde3	Y
GCGS0081	#b3cde3	Y
GCGS0082	#b3cde3	Y
GCGS0083	#b3cde3	Y
GCGS0084	#b3cde3	Y
GCGS0085	#b3cde3	Y
GCGS0087	#b3cde3	Y
GCGS0088	#b3cde3	Y
GCGS0090	#b3cde3	Y
GCGS0091	#b3cde3	Y
GCGS0092	#b3cde3	Y
GCGS0093	#b3cde3	Y
GCGS0094	#b3cde3	Y
GCGS0095	#b3cde3	Y
GCGS0097	#b3cde3	Y
GCGS0098	#b3cde3	Y
GCGS0099	#b3cde3	Y
GCGS0100	#b3cde3	Y
GCGS0104	#b3cde3	Y
GCGS0106	#b3cde3	Y
GCGS0107	#b3cde3	Y
GCGS0108	#b3cde3	Y
GCGS0110	#b3cde3	Y
GCGS0112	#b3cde3	Y
GCGS0113	#b3cde3	Y
GCGS0114	#b3cde3	Y
GCGS0115	#b3cde3	Y
GCGS0116	#b3cde3	Y
GCGS0119	#b3cde3	Y
GCGS0126	#b3cde3	Y
GCGS0127	#b3cde3	Y
GCGS0128	#b3cde3	Y
GCGS0129	#b3cde3	Y
GCGS0130	#b3cde3	Y
GCGS0131	#b3cde3	Y
GCGS0132	#b3cde3	Y
GCGS0133	#b3cde3	Y
GCGS0134	#b3cde3	Y
GCGS0135	#b3cde3	Y
GCGS0136	#b3cde3	Y
GCGS0142	#b3cde3	Y
GCGS0145	#b3cde3	Y
GCGS0146	#b3cde3	Y
GCGS0148	#b3cde3	Y
GCGS0149	#b3cde3	Y
GCGS0150	#b3cde3	Y
GCGS0152	#b3cde3	Y
GCGS0154	#b3cde3	Y
GCGS0155	#b3cde3	Y
GCGS0158	#b3cde3	Y
GCGS0160	#b3cde3	Y
GCGS0163	#b3cde3	Y
GCGS0164	#b3cde3	Y
GCGS0165	#b3cde3	Y
GCGS0166	#b3cde3	Y
GCGS0167	#b3cde3	Y
GCGS0169	#b3cde3	Y
GCGS0170	#b3cde3	Y
GCGS0171	#b3cde3	Y
GCGS0172	#b3cde3	Y
GCGS0173	#b3cde3	Y
GCGS0177	#b3cde3	Y
GCGS0180	#b3cde3	Y
GCGS0183	#b3cde3	Y
GCGS0186	#b3cde3	Y
GCGS0188	#b3cde3	Y
GCGS0189	#b3cde3	Y
GCGS0190	#b3cde3	Y
GCGS0191	#b3cde3	Y
GCGS0192	#b3cde3	Y
GCGS0195	#b3cde3	Y
GCGS0196	#b3cde3	Y
GCGS0197	#b3cde3	Y
GCGS0200	#b3cde3	Y
GCGS0201	#b3cde3	Y
GCGS0205	#b3cde3	Y
GCGS0206	#b3cde3	Y
GCGS0208	#b3cde3	Y
GCGS0210	#b3cde3	Y
GCGS0212	#b3cde3	Y
GCGS0216	#b3cde3	Y
GCGS0218	#b3cde3	Y
GCGS0219	#b3cde3	Y
GCGS0227	#b3cde3	Y
GCGS0231	#b3cde3	Y
GCGS0233	#b3cde3	Y
GCGS0235	#b3cde3	Y
GCGS0237	#b3cde3	Y
GCGS0238	#b3cde3	Y
GCGS0242	#b3cde3	Y
GCGS0243	#b3cde3	Y
GCGS0244	#b3cde3	Y
GCGS0245	#b3cde3	Y
GCGS0246	#b3cde3	Y
GCGS0248	#b3cde3	Y
GCGS0249	#b3cde3	Y
GCGS0250	#b3cde3	Y
GCGS0251	#b3cde3	Y
GCGS0252	#b3cde3	Y
GCGS0253	#b3cde3	Y
GCGS0255	#b3cde3	Y
GCGS0256	#b3cde3	Y
GCGS0257	#b3cde3	Y
GCGS0258	#b3cde3	Y
GCGS0259	#b3cde3	Y
GCGS0260	#b3cde3	Y
GCGS0261	#b3cde3	Y
GCGS0262	#b3cde3	Y
GCGS0264	#b3cde3	Y
GCGS0265	#b3cde3	Y
GCGS0266	#b3cde3	Y
GCGS0267	#b3cde3	Y
GCGS0268	#b3cde3	Y
GCGS0270	#b3cde3	Y
GCGS0271	#b3cde3	Y
GCGS0272	#b3cde3	Y
GCGS0273	#b3cde3	Y
GCGS0274	#b3cde3	Y
GCGS0275	#b3cde3	Y
GCGS0276	#b3cde3	Y
GCGS0277	#b3cde3	Y
GCGS0278	#b3cde3	Y
GCGS0281	#b3cde3	Y
GCGS0282	#b3cde3	Y
GCGS0283	#b3cde3	Y
GCGS0285	#b3cde3	Y
GCGS0286	#b3cde3	Y
GCGS0287	#b3cde3	Y
GCGS0289	#b3cde3	Y
GCGS0290	#b3cde3	Y
GCGS0291	#b3cde3	Y
GCGS0292	#b3cde3	Y
GCGS0293	#b3cde3	Y
GCGS0294	#b3cde3	Y
GCGS0295	#b3cde3	Y
GCGS0296	#b3cde3	Y
GCGS0299	#b3cde3	Y
GCGS0300	#b3cde3	Y
GCGS0301	#b3cde3	Y
GCGS0302	#b3cde3	Y
GCGS0303	#b3cde3	Y
GCGS0304	#b3cde3	Y
GCGS0305	#88419d	C
GCGS0306	#b3cde3	Y
GCGS0307	#b3cde3	Y
GCGS0308	#b3cde3	Y
GCGS0309	#b3cde3	Y
GCGS0310	#b3cde3	Y
GCGS0311	#b3cde3	Y
GCGS0312	#b3cde3	Y
GCGS0313	#b3cde3	Y
GCGS0314	#b3cde3	Y
GCGS0315	#b3cde3	Y
GCGS0316	#b3cde3	Y
GCGS0317	#b3cde3	Y
GCGS0318	#b3cde3	Y
GCGS0319	#b3cde3	Y
GCGS0320	#b3cde3	Y
GCGS0321	#b3cde3	Y
GCGS0322	#b3cde3	Y
GCGS0323	#b3cde3	Y
GCGS0324	#b3cde3	Y
GCGS0325	#b3cde3	Y
GCGS0326	#b3cde3	Y
GCGS0327	#b3cde3	Y
GCGS0328	#b3cde3	Y
GCGS0330	#b3cde3	Y
GCGS0332	#b3cde3	Y
GCGS0333	#b3cde3	Y
GCGS0334	#b3cde3	Y
GCGS0335	#b3cde3	Y
GCGS0336	#b3cde3	Y
GCGS0337	#b3cde3	Y
GCGS0338	#b3cde3	Y
GCGS0339	#b3cde3	Y
GCGS0340	#b3cde3	Y
GCGS0341	#b3cde3	Y
GCGS0342	#b3cde3	Y
GCGS0344	#b3cde3	Y
GCGS0345	#b3cde3	Y
GCGS0347	#b3cde3	Y
GCGS0348	#b3cde3	Y
GCGS0349	#b3cde3	Y
GCGS0350	#b3cde3	Y
GCGS0351	#b3cde3	Y
GCGS0352	#b3cde3	Y
GCGS0354	#b3cde3	Y
GCGS0355	#b3cde3	Y
GCGS0356	#b3cde3	Y
GCGS0357	#b3cde3	Y
GCGS0358	#b3cde3	Y
GCGS0359	#b3cde3	Y
GCGS0360	#b3cde3	Y
GCGS0361	#b3cde3	Y
GCGS0362	#b3cde3	Y
GCGS0363	#b3cde3	Y
GCGS0364	#b3cde3	Y
GCGS0365	#b3cde3	Y
GCGS0366	#b3cde3	Y
GCGS0368	#b3cde3	Y
GCGS0369	#b3cde3	Y
GCGS0372	#b3cde3	Y
GCGS0373	#b3cde3	Y
GCGS0374	#b3cde3	Y
GCGS0375	#b3cde3	Y
GCGS0376	#b3cde3	Y
GCGS0377	#b3cde3	Y
GCGS0378	#b3cde3	Y
GCGS0382	#b3cde3	Y
GCGS0383	#b3cde3	Y
GCGS0385	#b3cde3	Y
GCGS0388	#b3cde3	Y
GCGS0389	#b3cde3	Y
GCGS0390	#b3cde3	Y
GCGS0391	#b3cde3	Y
GCGS0393	#b3cde3	Y
GCGS0394	#b3cde3	Y
GCGS0395	#b3cde3	Y
GCGS0397	#b3cde3	Y
GCGS0398	#b3cde3	Y
GCGS0399	#b3cde3	Y
GCGS0400	#b3cde3	Y
GCGS0404	#b3cde3	Y
GCGS0407	#b3cde3	Y
GCGS0409	#b3cde3	Y
GCGS0410	#b3cde3	Y
GCGS0412	#b3cde3	Y
GCGS0413	#b3cde3	Y
GCGS0414	#b3cde3	Y
GCGS0416	#b3cde3	Y
GCGS0417	#b3cde3	Y
GCGS0418	#b3cde3	Y
GCGS0419	#b3cde3	Y
GCGS0420	#b3cde3	Y
GCGS0421	#b3cde3	Y
GCGS0423	#b3cde3	Y
GCGS0424	#b3cde3	Y
GCGS0425	#b3cde3	Y
GCGS0426	#b3cde3	Y
GCGS0427	#b3cde3	Y
GCGS0428	#b3cde3	Y
GCGS0429	#b3cde3	Y
GCGS0430	#b3cde3	Y
GCGS0431	#b3cde3	Y
GCGS0432	#b3cde3	Y
GCGS0433	#b3cde3	Y
GCGS0434	#b3cde3	Y
GCGS0435	#b3cde3	Y
GCGS0436	#b3cde3	Y
GCGS0437	#b3cde3	Y
GCGS0438	#b3cde3	Y
GCGS0439	#b3cde3	Y
GCGS0441	#b3cde3	Y
GCGS0443	#b3cde3	Y
GCGS0444	#b3cde3	Y
GCGS0445	#b3cde3	Y
GCGS0447	#b3cde3	Y
GCGS0448	#b3cde3	Y
GCGS0449	#b3cde3	Y
GCGS0450	#b3cde3	Y
GCGS0451	#b3cde3	Y
GCGS0452	#b3cde3	Y
GCGS0453	#b3cde3	Y
GCGS0454	#b3cde3	Y
GCGS0455	#b3cde3	Y
GCGS0456	#b3cde3	Y
GCGS0457	#b3cde3	Y
GCGS0459	#b3cde3	Y
GCGS0460	#b3cde3	Y
GCGS0461	#b3cde3	Y
GCGS0462	#b3cde3	Y
GCGS0463	#b3cde3	Y
GCGS0464	#b3cde3	Y
